REFERENCIA,DESCRIPCIÓN,TOTAL_SALES,CUM_SHARE,ABC_CLASS,MEAN_MONTHLY_SALES,STD_MONTHLY_SALES,CV,XYZ_CLASS,ABC_XYZ
6PU010039-991,SENSOR ABS LH,427,0.4722974252924369,A,6.8871,8.5442,1.2406,Z,AZ
DR43512-16070,DISCO FRENO,425,0.47313606011334397,A,6.8548,12.1534,1.773,Z,AZ
PRC1560,BOBINA ENCENDIDO,424,0.4739727216758489,A,6.8387,12.6964,1.8566,Z,AZ
ENLA-2493,RODAMIENTO DE AGUJAS GOL ENGRANAJE DE 1ra,424,0.4748093832383538,A,6.8387,12.4722,1.8238,Z,AZ
FG-5719,FILTRO GASOLINA AVEO CHEV TAXI,423,0.47564407154245664,A,6.8226,8.3811,1.2284,Z,AZ
WT357121321C,TAPA RESERVORIO,423,0.4764787598465594,A,6.8226,14.3735,2.1068,Z,AZ
XI-80,FILTRO GASOLINA,423,0.47731344815066223,A,6.8226,12.6816,1.8588,Z,AZ
DKR-030-IZ,JGO MOQUETA,422,0.4781461631963629,A,6.8065,13.1171,1.9272,Z,AZ
WT8200561420,BASE TERMOSTATO,421,0.4789769049836614,A,6.7903,11.1863,1.6474,Z,AZ
HP5266,JGO. PASTILLA DE FRENO,420,0.4798056735125578,A,6.7742,7.0675,1.0433,Z,AZ
OES-K30A-34-700C,AMORTIGUADOR DELANT RH.. RIO 01/02,418,0.4806304955246499,A,6.7419,6.0293,0.8943,Y,AY
ALHP-2469,GUARDAPOLVO PALANCA CAMBIOS LARGA,418,0.4814553175367421,A,6.7419,7.1548,1.0612,Z,AZ
WT03L121131M,TERMOSTATO,417,0.4822781662904321,A,6.7258,6.5233,0.9699,Y,AY
GM25186958,CARTER,417,0.48310101504412206,A,6.7258,21.7576,3.2349,Z,AZ
TH-2825,"FILTRO ACEITE DATSUN, TOYOTA HILUX 80, NISSAN SENTRA B13",416,0.4839218905394099,A,6.7097,11.2585,1.678,Z,AZ
